,0
complexity from pubmed,0.0
MW,0.01
AMW,0.005
Sv,0.035
Se,0.005
Sp,0.03
Si,0.0
Mv,0.0
Me,0.02
Mp,0.0
Mi,0.0
nAT,0.0
nSK,0.005
nBT,0.0
nBO,0.0
nBM,0.0
SCBO,0.005
RBN,0.0
RBF,0.0
nDB,0.025
nTB,0.0
nAB,0.0
nH,0.0
nC,0.0
nN,0.02
nO,0.0
nP,0.0
nS,0.065
nF,0.0
nCL,0.0
nBR,0.0
nI,0.0
nB,0.0
nHM,0.0
nHet,0.045
nX,0.0
H%,0.0
C%,0.0
N%,0.04
O%,0.0
X%,0.0
nCsp3,0.0
nCsp2,0.0
nCsp,0.0
nCIC,0.0
nCIR,0.0
TRS,0.0
Rperim,0.0
Rbrid,0.0
MCD,0.0
RFD,0.0
RCI,0.0
NRS,0.0
NNRS,0.0
nR03,0.0
nR04,0.0
nR05,0.0
nR06,0.0
nR07,0.02
nR08,0.0
nR09,0.0
nR10,0.0
nR11,0.0
nR12,0.0
nBnz,0.0
ARR,0.0
D/Dtr03,0.0
D/Dtr04,0.0
D/Dtr05,0.015
D/Dtr06,0.0
D/Dtr07,0.03
D/Dtr08,0.0
D/Dtr09,0.0
D/Dtr10,0.0
D/Dtr11,0.0
D/Dtr12,0.0
ZM1,0.0
ZM1V,0.0
ZM1Kup,0.0
ZM1Mad,0.0
ZM1Per,0.0
ZM1MulPer,0.0
ZM2,0.0
ZM2V,0.0
ZM2Kup,0.0
ZM2Mad,0.0
ZM2Per,0.0
ZM2MulPer,0.0
ON0,0.0
ON0V,0.0
ON1,0.0
ON1V,0.0
Qindex,0.0
BBI,0.0
DBI,0.0
SNar,0.0
HNar,0.0
GNar,0.0
Xt,0.0
Dz,0.0
Ram,0.0
BLI,0.0
Pol,0.0
LPRS,0.0
MSD,0.0
SPI,0.0
PJI2,0.0
ECC,0.0
AECC,0.0
DECC,0.0
MDDD,0.0
UNIP,0.0
CENT,0.0
VAR,0.0
ICR,0.0
SMTI,0.0
SMTIV,0.0
GMTI,0.0
GMTIV,0.0
Xu,0.0
CSI,0.0
Wap,0.0
S1K,0.0
S2K,0.0
S3K,0.0
PHI,0.0
PW2,0.0
PW3,0.0
PW4,0.0
PW5,0.0
MAXDN,0.0
MAXDP,0.0
DELS,0.0
TIE,0.0
Psi_i_s,0.0
