INTENSITY/STRENGTH,500
VALENCE/PLEASANTNESS,150
BAKERY,2000
SWEET,300
FRUIT,200
FISH,10
GARLIC,100
SPICES,2000
COLD,300
SOUR,70
BURNT,50
ACID,200
WARM,500
MUSKY,800
SWEATY,2000
AMMONIA/URINOUS,400
DECAYED,400
WOOD,50
GRASS,1000
FLOWER,2000
CHEMICAL,2000
